,i_sensor_1,i_sensor_2,i_sensor_3,o_left,o_right,i_sensor_4,i_sensor_5
0,600,55,82,True,False,49.0,69.0
0,600,56,82,False,False,49.0,70.0
0,600,56,83,False,False,48.0,70.0
0,600,55,82,False,False,47.0,70.0
0,600,55,83,False,False,46.0,70.0
0,600,53,83,False,False,46.0,70.0
0,600,52,83,False,False,46.0,70.0
0,600,52,82,False,False,47.0,70.0
0,600,51,82,False,False,46.0,70.0
0,600,51,81,False,False,44.0,71.0
0,600,50,80,False,False,44.0,70.0
0,600,51,82,False,False,43.0,71.0
0,600,54,82,False,False,43.0,71.0
0,600,48,81,False,False,42.0,71.0
0,600,52,77,False,True,43.0,70.0
0,301,50,76,False,False,43.0,69.0
0,301,50,75,False,False,43.0,68.0
0,301,51,74,False,False,43.0,67.0
0,301,51,73,False,False,43.0,67.0
0,300,50,71,False,False,43.0,67.0
0,300,52,70,False,False,42.0,66.0
0,294,65,70,False,False,42.0,65.0
0,300,56,69,False,False,42.0,64.0
0,296,56,68,False,False,42.0,63.0
0,290,58,67,False,False,43.0,62.0
0,284,58,66,False,False,44.0,61.0
0,278,60,65,False,False,45.0,60.0
0,271,62,64,False,False,47.0,60.0
0,266,64,63,False,False,48.0,59.0
0,260,65,62,False,False,49.0,57.0
0,253,66,62,False,False,49.0,56.0
0,248,72,61,False,False,50.0,55.0
0,301,70,65,True,False,50.0,54.0
0,301,64,66,False,False,51.0,54.0
0,301,64,66,False,False,51.0,54.0
0,301,65,66,False,False,52.0,55.0
0,301,66,64,False,False,52.0,54.0
0,301,67,63,False,False,53.0,56.0
0,301,66,63,False,False,53.0,55.0
0,293,67,62,False,False,54.0,57.0
0,291,67,62,False,False,55.0,56.0
0,600,63,65,True,False,54.0,55.0
0,600,63,65,False,False,54.0,55.0
0,600,63,65,False,False,54.0,55.0
0,300,65,65,False,False,53.0,55.0
0,300,63,65,False,False,53.0,55.0
0,300,63,64,False,False,53.0,55.0
0,300,63,64,False,False,53.0,55.0
0,300,63,62,False,False,53.0,55.0
0,300,63,61,False,False,53.0,55.0
0,294,63,60,False,False,53.0,55.0
0,288,63,60,False,False,53.0,55.0
0,282,63,60,False,False,53.0,54.0
0,276,63,58,False,False,53.0,54.0
0,600,60,59,True,False,52.0,52.0
0,600,59,60,False,False,52.0,53.0
0,600,58,59,False,False,51.0,53.0
0,600,58,57,False,False,51.0,53.0
0,600,57,57,False,False,50.0,53.0
0,600,55,57,False,False,50.0,52.0
0,600,57,55,False,False,49.0,51.0
0,600,56,55,False,False,49.0,50.0
0,600,56,56,False,False,48.0,49.0
0,600,55,55,False,False,48.0,48.0
0,301,55,55,False,False,48.0,48.0
0,298,54,55,False,False,48.0,48.0
0,298,54,55,False,False,47.0,47.0
0,287,54,53,False,False,47.0,48.0
0,287,54,55,False,False,46.0,47.0
0,275,53,56,False,False,46.0,47.0
0,264,53,56,False,False,45.0,46.0
0,264,51,57,False,False,45.0,47.0
0,265,50,58,False,False,45.0,47.0
0,265,52,57,False,False,44.0,47.0
0,265,54,57,False,False,44.0,48.0
0,600,50,62,True,False,43.0,49.0
0,600,47,66,True,False,42.0,52.0
0,600,46,68,False,False,41.0,53.0
0,600,44,67,False,False,41.0,53.0
0,600,43,67,False,False,40.0,55.0
0,600,44,67,False,False,39.0,56.0
0,600,43,66,False,False,38.0,56.0
0,600,44,67,False,False,38.0,58.0
0,600,44,68,False,False,37.0,58.0
0,600,47,66,False,False,37.0,59.0
0,600,48,66,False,False,37.0,58.0
0,600,50,63,False,False,38.0,58.0
0,600,51,62,False,False,39.0,59.0
0,600,54,61,False,False,40.0,59.0
0,600,54,60,False,False,41.0,59.0
0,600,58,60,False,False,43.0,57.0
0,600,55,60,False,False,44.0,56.0
0,600,55,60,False,False,45.0,54.0
0,600,57,59,False,False,46.0,53.0
0,600,58,61,False,False,47.0,52.0
0,600,59,60,False,False,48.0,52.0
0,600,61,60,False,False,47.0,51.0
0,600,64,60,False,False,48.0,52.0
0,600,64,60,False,False,50.0,52.0
0,600,67,60,False,False,51.0,53.0
0,600,67,60,False,False,51.0,53.0
0,600,69,60,False,False,53.0,52.0
0,600,69,63,False,False,55.0,52.0
0,600,70,60,False,False,55.0,52.0
0,600,70,62,False,False,57.0,52.0
0,600,71,63,False,False,58.0,52.0
0,600,70,63,False,False,59.0,53.0
0,600,71,62,False,False,59.0,53.0
0,600,71,62,False,False,60.0,53.0
0,600,73,61,False,False,60.0,54.0
0,600,73,60,False,False,61.0,55.0
0,600,84,59,False,False,61.0,55.0
0,300,71,60,True,False,60.0,55.0
0,299,73,60,False,False,60.0,55.0
0,292,72,58,False,False,60.0,54.0
0,286,74,60,False,False,60.0,54.0
0,280,76,59,False,False,60.0,53.0
0,274,77,59,False,False,60.0,53.0
0,274,78,60,False,False,61.0,52.0
0,273,79,61,False,False,62.0,51.0
0,257,84,60,False,False,63.0,52.0
0,251,86,61,False,False,64.0,52.0
0,245,89,61,False,False,65.0,52.0
0,239,90,60,False,False,67.0,52.0
0,234,90,62,False,False,67.0,53.0
0,227,89,64,False,False,68.0,52.0
0,222,89,65,False,False,70.0,53.0
0,215,87,68,False,False,73.0,53.0
0,210,86,66,False,False,75.0,54.0
0,207,87,72,False,False,77.0,54.0
0,207,84,77,False,False,78.0,55.0
0,190,83,82,False,False,78.0,56.0
0,184,83,88,False,False,76.0,57.0
0,193,86,80,False,True,77.0,57.0
0,201,90,75,False,True,77.0,57.0
0,211,93,70,False,True,78.0,57.0
0,205,92,73,False,False,77.0,56.0
0,199,92,74,False,False,78.0,56.0
0,193,91,77,False,False,79.0,56.0
0,187,91,81,False,False,80.0,58.0
0,181,89,87,False,False,80.0,58.0
0,175,88,100,False,False,80.0,61.0
0,176,90,92,False,True,80.0,60.0
0,178,93,80,False,True,81.0,60.0
0,171,92,92,False,False,81.0,60.0
0,166,91,101,False,False,81.0,60.0
0,159,90,100,False,False,81.0,61.0
0,160,91,100,False,True,82.0,61.0
0,163,93,95,False,True,82.0,60.0
0,165,98,83,False,True,84.0,59.0
0,159,98,93,False,False,85.0,59.0
0,153,99,101,False,False,84.0,60.0
0,147,98,100,False,False,84.0,61.0
0,149,92,101,False,True,86.0,61.0
0,150,91,95,False,True,85.0,60.0
0,152,92,86,False,True,85.0,60.0
0,145,96,93,False,False,85.0,60.0
0,140,92,100,False,False,84.0,62.0
0,133,88,99,False,False,83.0,63.0
0,137,81,80,False,True,82.0,63.0
0,139,81,90,False,True,81.0,62.0
0,147,80,83,False,True,84.0,62.0
0,152,81,77,False,True,76.0,61.0
0,146,80,80,False,False,76.0,60.0
0,140,81,87,False,False,74.0,60.0
0,134,79,97,False,False,72.0,62.0
0,128,70,100,False,False,71.0,61.0
0,132,76,95,False,True,67.0,61.0
0,141,74,87,False,True,65.0,60.0
0,151,72,79,False,True,69.0,61.0
0,163,72,73,False,True,62.0,58.0
0,157,70,73,False,False,62.0,58.0
0,151,69,73,False,False,62.0,58.0
0,162,70,68,False,True,57.0,58.0
0,192,70,65,False,True,57.0,57.0
0,300,72,65,False,True,64.0,48.0
0,300,71,65,False,False,64.0,46.0
0,300,70,65,False,False,64.0,46.0
0,600,72,62,False,True,63.0,45.0
0,600,74,59,False,True,64.0,45.0
0,600,73,59,False,False,64.0,44.0
0,600,73,61,False,False,64.0,44.0
0,600,72,61,False,False,63.0,42.0
0,600,71,61,False,False,63.0,41.0
0,600,70,64,False,False,63.0,41.0
